Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,emp no,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Employee Count,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,Travel_Rarely,25 - 34,Current Employees,HR,Human Resources,STAFF-311,424,Male,Human Resources,Married,No,Y,1,31,1,106,2,Bachelor's Degree,1,1,62,2,2,1,6410,17822,3,12,3,4,80,0,9,3,2,2,1,0
No,Travel_Rarely,25 - 34,Current Employees,HR,Human Resources,STAFF-864,1207,Male,Human Resources,Married,No,Y,2,33,1,147,2,Bachelor's Degree,1,2,99,3,1,3,3600,8429,1,13,3,4,80,1,5,3,5,4,1,4
No,Travel_Rarely,25 - 34,Current Employees,HR,Human Resources,STAFF-1020,1987,Female,Human Resources,Married,No,Y,3,25,1,309,2,Bachelor's Degree,1,3,82,3,1,2,2187,19655,4,14,3,3,80,0,6,3,2,0,1,2
No,Travel_Rarely,25 - 34,Current Employees,HR,Human Resources,STAFF-1593,2001,Male,Human Resources,Married,Yes,Y,2,30,1,1240,9,Bachelor's Degree,1,3,48,3,2,4,6347,13982,0,19,3,4,80,0,12,1,11,9,4,7
No,Travel_Rarely,25 - 34,Current Employees,HR,Human Resources,STAFF-1764,2172,Male,Human Resources,Married,No,Y,1,31,1,106,2,Bachelor's Degree,1,1,62,2,2,1,6410,17822,3,12,3,4,80,0,9,3,2,2,1,0
No,Travel_Rarely,25 - 34,Current Employees,HR,Human Resources,STAFF-2317,2725,Male,Human Resources,Married,No,Y,2,33,1,147,2,Bachelor's Degree,1,2,99,3,1,3,3600,8429,1,13,3,4,80,1,5,3,5,4,1,4
No,Travel_Rarely,25 - 34,Current Employees,HR,Human Resources,STAFF-2473,2881,Female,Human Resources,Married,No,Y,3,25,1,309,2,Bachelor's Degree,1,3,82,3,1,2,2187,19655,4,14,3,3,80,0,6,3,2,0,1,2
Yes,Travel_Rarely,25 - 34,Ex-Employees,HR,Human Resources,STAFF-1449,1844,Male,Human Resources,Divorced,Yes,Y,3,29,0,350,13,Bachelor's Degree,1,1,56,2,1,1,2335,3157,4,15,3,4,80,3,4,3,2,2,2,0
Yes,Travel_Rarely,25 - 34,Ex-Employees,HR,Human Resources,STAFF-2902,3310,Male,Human Resources,Divorced,Yes,Y,3,29,0,350,13,Bachelor's Degree,1,1,56,2,1,1,2335,3157,4,15,3,4,80,3,4,3,2,2,2,0
Yes,Travel_Rarely,25 - 34,Ex-Employees,HR,Human Resources,STAFF-1418,1842,Male,Human Resources,Married,No,Y,4,31,0,359,18,Doctoral Degree,1,4,89,4,1,1,2956,21495,0,17,3,3,80,0,2,3,1,0,0,0
Yes,Travel_Rarely,25 - 34,Ex-Employees,HR,Human Resources,STAFF-2871,3279,Male,Human Resources,Married,No,Y,4,31,0,359,18,Doctoral Degree,1,4,89,4,1,1,2956,21495,0,17,3,3,80,0,2,3,1,0,0,0
No,Non-Travel,35 - 44,Current Employees,HR,Human Resources,STAFF-1096,1805,Male,Human Resources,Divorced,No,Y,3,38,1,1336,2,Bachelor's Degree,1,1,100,3,1,2,2592,7129,5,13,3,4,80,3,13,3,11,10,3,8
No,Non-Travel,35 - 44,Current Employees,HR,Human Resources,STAFF-1097,1722,Male,Human Resources,Married,No,Y,4,41,1,552,4,Bachelor's Degree,1,3,60,1,2,2,6430,20794,6,19,3,2,80,1,10,3,3,2,1,2
No,Non-Travel,35 - 44,Current Employees,HR,Human Resources,STAFF-2549,2957,Male,Human Resources,Divorced,No,Y,3,38,1,1336,2,Bachelor's Degree,1,1,100,3,1,2,2592,7129,5,13,3,4,80,3,13,3,11,10,3,8
No,Non-Travel,35 - 44,Current Employees,HR,Human Resources,STAFF-2550,2958,Male,Human Resources,Married,No,Y,4,41,1,552,4,Bachelor's Degree,1,3,60,1,2,2,6430,20794,6,19,3,2,80,1,10,3,3,2,1,2
No,Travel_Frequently,35 - 44,Current Employees,HR,Human Resources,STAFF-1301,1642,Male,Human Resources,Married,Yes,Y,3,44,1,602,1,Doctoral Degree,1,1,37,3,2,4,5743,10503,4,11,3,3,80,0,14,3,10,7,0,2
No,Travel_Frequently,35 - 44,Current Employees,HR,Human Resources,STAFF-2754,3162,Male,Human Resources,Married,Yes,Y,3,44,1,602,1,Doctoral Degree,1,1,37,3,2,4,5743,10503,4,11,3,3,80,0,14,3,10,7,0,2
No,Travel_Frequently,35 - 44,Current Employees,HR,Human Resources,STAFF-1364,1890,Male,Human Resources,Single,No,Y,2,36,1,1213,2,High School,1,2,94,2,2,4,3886,4223,1,21,4,4,80,0,10,2,10,1,0,8
No,Travel_Frequently,35 - 44,Current Employees,HR,Human Resources,STAFF-2817,3225,Male,Human Resources,Single,No,Y,2,36,1,1213,2,High School,1,2,94,2,2,4,3886,4223,1,21,4,4,80,0,10,2,10,1,0,8
No,Travel_Frequently,35 - 44,Current Employees,HR,Human Resources,STAFF-1118,1563,Male,Human Resources,Married,No,Y,2,38,1,888,10,Master's Degree,1,3,71,3,2,3,6077,14814,3,11,3,3,80,0,10,3,6,3,1,2
No,Travel_Frequently,35 - 44,Current Employees,HR,Human Resources,STAFF-2571,2979,Male,Human Resources,Married,No,Y,2,38,1,888,10,Master's Degree,1,3,71,3,2,3,6077,14814,3,11,3,3,80,0,10,3,6,3,1,2
No,Travel_Rarely,35 - 44,Current Employees,HR,Human Resources,STAFF-552,760,Female,Human Resources,Married,No,Y,3,39,1,141,3,Bachelor's Degree,1,3,44,4,2,2,6389,18767,9,15,3,3,80,1,12,1,8,3,3,6
No,Travel_Rarely,35 - 44,Current Employees,HR,Human Resources,STAFF-600,829,Male,Human Resources,Married,No,Y,2,36,1,1041,13,Bachelor's Degree,1,3,36,3,1,2,2143,25527,4,13,3,2,80,1,8,3,5,2,0,4
No,Travel_Rarely,35 - 44,Current Employees,HR,Human Resources,STAFF-827,1152,Male,Human Resources,Married,No,Y,2,38,1,433,1,Bachelor's Degree,1,3,37,4,1,3,2844,6004,1,13,3,4,80,1,7,4,7,6,5,0
No,Travel_Rarely,35 - 44,Current Employees,HR,Human Resources,STAFF-2005,2413,Female,Human Resources,Married,No,Y,3,39,1,141,3,Bachelor's Degree,1,3,44,4,2,2,6389,18767,9,15,3,3,80,1,12,1,8,3,3,6
No,Travel_Rarely,35 - 44,Current Employees,HR,Human Resources,STAFF-2053,2461,Male,Human Resources,Married,No,Y,2,36,1,1041,13,Bachelor's Degree,1,3,36,3,1,2,2143,25527,4,13,3,2,80,1,8,3,5,2,0,4
No,Travel_Rarely,35 - 44,Current Employees,HR,Human Resources,STAFF-2280,2688,Male,Human Resources,Married,No,Y,2,38,1,433,1,Bachelor's Degree,1,3,37,4,1,3,2844,6004,1,13,3,4,80,1,7,4,7,6,5,0
No,Travel_Rarely,35 - 44,Current Employees,HR,Human Resources,STAFF-539,734,Male,Manager,Married,No,Y,3,41,1,314,1,Bachelor's Degree,1,4,59,2,5,3,19189,19562,1,12,3,2,80,1,22,3,22,7,2,10
No,Travel_Rarely,35 - 44,Current Employees,HR,Human Resources,STAFF-1000,1408,Female,Manager,Married,No,Y,5,42,1,1147,10,Bachelor's Degree,1,3,31,3,4,1,16799,16616,0,14,3,3,80,1,21,3,20,7,0,9
No,Travel_Rarely,35 - 44,Current Employees,HR,Human Resources,STAFF-1992,2400,Male,Manager,Married,No,Y,3,41,1,314,1,Bachelor's Degree,1,4,59,2,5,3,19189,19562,1,12,3,2,80,1,22,3,22,7,2,10
No,Travel_Rarely,35 - 44,Current Employees,HR,Human Resources,STAFF-2453,2861,Female,Manager,Married,No,Y,5,42,1,1147,10,Bachelor's Degree,1,3,31,3,4,1,16799,16616,0,14,3,3,80,1,21,3,20,7,0,9
No,Travel_Rarely,35 - 44,Current Employees,HR,Human Resources,STAFF-536,731,Male,Manager,Divorced,No,Y,2,41,1,427,10,Master's Degree,1,2,73,2,5,4,19141,8861,3,15,3,2,80,3,23,2,21,6,12,6
No,Travel_Rarely,35 - 44,Current Employees,HR,Human Resources,STAFF-1989,2397,Male,Manager,Divorced,No,Y,2,41,1,427,10,Master's Degree,1,2,73,2,5,4,19141,8861,3,15,3,2,80,3,23,2,21,6,12,6
Yes,Travel_Rarely,35 - 44,Ex-Employees,HR,Human Resources,STAFF-101,133,Male,Human Resources,Divorced,Yes,Y,3,37,0,807,6,Master's Degree,1,3,63,3,1,1,2073,23648,4,22,4,4,80,0,7,3,3,2,0,2
Yes,Travel_Rarely,35 - 44,Ex-Employees,HR,Human Resources,STAFF-1554,1962,Male,Human Resources,Divorced,Yes,Y,3,37,0,807,6,Master's Degree,1,3,63,3,1,1,2073,23648,4,22,4,4,80,0,7,3,3,2,0,2
No,Non-Travel,45 - 54,Current Employees,HR,Human Resources,STAFF-113,148,Female,Manager,Single,Yes,Y,3,54,1,142,26,Bachelor's Degree,1,4,30,4,4,4,17328,13871,2,12,3,3,80,0,23,3,5,3,4,4
No,Non-Travel,45 - 54,Current Employees,HR,Human Resources,STAFF-1566,1974,Female,Manager,Single,Yes,Y,3,54,1,142,26,Bachelor's Degree,1,4,30,4,4,4,17328,13871,2,12,3,3,80,0,23,3,5,3,4,4
No,Non-Travel,Over 55,Current Employees,HR,Human Resources,STAFF-106,140,Female,Manager,Married,No,Y,3,59,1,1420,2,Master's Degree,1,3,32,2,5,4,18844,21922,9,21,4,4,80,1,30,3,3,2,2,2
No,Non-Travel,Over 55,Current Employees,HR,Human Resources,STAFF-1559,1967,Female,Manager,Married,No,Y,3,59,1,1420,2,Master's Degree,1,3,32,2,5,4,18844,21922,9,21,4,4,80,1,30,3,3,2,2,2
No,Travel_Rarely,Over 55,Current Employees,HR,Human Resources,STAFF-1314,1973,Male,Manager,Married,Yes,Y,0,55,1,189,26,Master's Degree,1,3,71,4,5,2,19636,25811,4,18,3,1,80,1,35,3,10,9,1,4
No,Travel_Rarely,Over 55,Current Employees,HR,Human Resources,STAFF-2767,3175,Male,Manager,Married,Yes,Y,0,55,1,189,26,Master's Degree,1,3,71,4,5,2,19636,25811,4,18,3,1,80,1,35,3,10,9,1,4
Yes,Travel_Rarely,Under 25,Ex-Employees,HR,Human Resources,STAFF-1419,1714,Male,Human Resources,Married,No,Y,2,24,0,240,22,High School,1,4,58,1,1,3,1555,11585,1,11,3,3,80,1,1,3,1,0,0,0
Yes,Travel_Rarely,Under 25,Ex-Employees,HR,Human Resources,STAFF-2872,3280,Male,Human Resources,Married,No,Y,2,24,0,240,22,High School,1,4,58,1,1,3,1555,11585,1,11,3,3,80,1,1,3,1,0,0,0
No,Non-Travel,25 - 34,Current Employees,HR,Life Sciences,STAFF-1095,1858,Male,Human Resources,Divorced,No,Y,2,28,1,280,1,Associates Degree,1,3,43,3,1,4,2706,10494,1,15,3,2,80,1,3,3,3,2,2,2
No,Non-Travel,25 - 34,Current Employees,HR,Life Sciences,STAFF-2548,2956,Male,Human Resources,Divorced,No,Y,2,28,1,280,1,Associates Degree,1,3,43,3,1,4,2706,10494,1,15,3,2,80,1,3,3,3,2,2,2
No,Travel_Frequently,25 - 34,Current Employees,HR,Life Sciences,STAFF-924,1289,Male,Human Resources,Married,No,Y,5,34,1,648,11,Bachelor's Degree,1,3,56,2,2,2,4490,21833,4,11,3,4,80,2,14,4,10,9,1,8
No,Travel_Frequently,25 - 34,Current Employees,HR,Life Sciences,STAFF-2377,2785,Male,Human Resources,Married,No,Y,5,34,1,648,11,Bachelor's Degree,1,3,56,2,2,2,4490,21833,4,11,3,4,80,2,14,4,10,9,1,8
Yes,Travel_Frequently,25 - 34,Ex-Employees,HR,Life Sciences,STAFF-454,608,Female,Human Resources,Divorced,Yes,Y,2,26,0,426,17,Master's Degree,1,2,58,3,1,3,2741,22808,0,11,3,2,80,1,8,2,7,7,1,0
Yes,Travel_Frequently,25 - 34,Ex-Employees,HR,Life Sciences,STAFF-1907,2315,Female,Human Resources,Divorced,Yes,Y,2,26,0,426,17,Master's Degree,1,2,58,3,1,3,2741,22808,0,11,3,2,80,1,8,2,7,7,1,0
No,Travel_Rarely,25 - 34,Current Employees,HR,Life Sciences,STAFF-1369,1499,Male,Human Resources,Divorced,No,Y,3,30,1,330,1,Bachelor's Degree,1,3,46,3,1,3,2064,15428,0,21,4,1,80,1,6,4,5,3,1,3
No,Travel_Rarely,25 - 34,Current Employees,HR,Life Sciences,STAFF-2822,3230,Male,Human Resources,Divorced,No,Y,3,30,1,330,1,Bachelor's Degree,1,3,46,3,1,3,2064,15428,0,21,4,1,80,1,6,4,5,3,1,3
No,Travel_Rarely,25 - 34,Current Employees,HR,Life Sciences,STAFF-135,177,Female,Human Resources,Married,No,Y,3,26,1,1355,25,High School,1,3,61,3,1,3,2942,8916,1,23,4,4,80,1,8,3,8,7,5,7
No,Travel_Rarely,25 - 34,Current Employees,HR,Life Sciences,STAFF-1588,1996,Female,Human Resources,Married,No,Y,3,26,1,1355,25,High School,1,3,61,3,1,3,2942,8916,1,23,4,4,80,1,8,3,8,7,5,7
No,Travel_Rarely,35 - 44,Current Employees,HR,Life Sciences,STAFF-634,878,Male,Human Resources,Married,No,Y,3,36,1,1278,8,Bachelor's Degree,1,1,77,2,1,1,2342,8635,0,21,4,3,80,0,6,3,5,4,0,3
No,Travel_Rarely,35 - 44,Current Employees,HR,Life Sciences,STAFF-655,909,Female,Human Resources,Married,No,Y,2,39,1,1383,2,Bachelor's Degree,1,4,42,2,2,4,5204,7790,8,11,3,3,80,2,13,3,5,4,0,4
No,Travel_Rarely,35 - 44,Current Employees,HR,Life Sciences,STAFF-1146,1778,Male,Human Resources,Single,No,Y,5,43,1,244,2,Bachelor's Degree,1,2,97,3,1,4,3539,5033,0,13,3,2,80,0,10,3,9,7,1,8
No,Travel_Rarely,35 - 44,Current Employees,HR,Life Sciences,STAFF-1270,1683,Female,Human Resources,Divorced,Yes,Y,2,44,1,528,1,Bachelor's Degree,1,3,44,3,1,4,3195,4167,4,18,3,1,80,3,8,3,2,2,2,2
No,Travel_Rarely,35 - 44,Current Employees,HR,Life Sciences,STAFF-2087,2495,Male,Human Resources,Married,No,Y,3,36,1,1278,8,Bachelor's Degree,1,1,77,2,1,1,2342,8635,0,21,4,3,80,0,6,3,5,4,0,3
No,Travel_Rarely,35 - 44,Current Employees,HR,Life Sciences,STAFF-2108,2516,Female,Human Resources,Married,No,Y,2,39,1,1383,2,Bachelor's Degree,1,4,42,2,2,4,5204,7790,8,11,3,3,80,2,13,3,5,4,0,4
No,Travel_Rarely,35 - 44,Current Employees,HR,Life Sciences,STAFF-2599,3007,Male,Human Resources,Single,No,Y,5,43,1,244,2,Bachelor's Degree,1,2,97,3,1,4,3539,5033,0,13,3,2,80,0,10,3,9,7,1,8
No,Travel_Rarely,35 - 44,Current Employees,HR,Life Sciences,STAFF-2723,3131,Female,Human Resources,Divorced,Yes,Y,2,44,1,528,1,Bachelor's Degree,1,3,44,3,1,4,3195,4167,4,18,3,1,80,3,8,3,2,2,2,2
No,Travel_Rarely,35 - 44,Current Employees,HR,Life Sciences,STAFF-494,665,Female,Human Resources,Single,No,Y,1,44,1,1112,1,Master's Degree,1,1,50,2,2,3,5985,26894,4,11,3,2,80,0,10,4,2,2,0,2
No,Travel_Rarely,35 - 44,Current Employees,HR,Life Sciences,STAFF-1271,2040,Female,Human Resources,Single,Yes,Y,2,35,1,1146,26,Master's Degree,1,3,31,3,3,4,8837,16642,1,16,3,3,80,0,9,3,9,0,1,7
No,Travel_Rarely,35 - 44,Current Employees,HR,Life Sciences,STAFF-1947,2355,Female,Human Resources,Single,No,Y,1,44,1,1112,1,Master's Degree,1,1,50,2,2,3,5985,26894,4,11,3,2,80,0,10,4,2,2,0,2
No,Travel_Rarely,35 - 44,Current Employees,HR,Life Sciences,STAFF-2724,3132,Female,Human Resources,Single,Yes,Y,2,35,1,1146,26,Master's Degree,1,3,31,3,3,4,8837,16642,1,16,3,3,80,0,9,3,9,0,1,7
No,Travel_Rarely,45 - 54,Current Employees,HR,Life Sciences,STAFF-944,1314,Female,Human Resources,Single,No,Y,3,46,1,991,1,Associates Degree,1,4,44,3,1,1,3423,22957,6,12,3,3,80,0,10,4,7,6,5,7
No,Travel_Rarely,45 - 54,Current Employees,HR,Life Sciences,STAFF-2397,2805,Female,Human Resources,Single,No,Y,3,46,1,991,1,Associates Degree,1,4,44,3,1,1,3423,22957,6,12,3,3,80,0,10,4,7,6,5,7
No,Travel_Rarely,45 - 54,Current Employees,HR,Life Sciences,STAFF-1345,1744,Female,Human Resources,Married,No,Y,2,45,1,176,4,Bachelor's Degree,1,3,56,1,3,3,9756,6595,4,21,4,3,80,2,9,4,5,0,0,3
No,Travel_Rarely,45 - 54,Current Employees,HR,Life Sciences,STAFF-2798,3206,Female,Human Resources,Married,No,Y,2,45,1,176,4,Bachelor's Degree,1,3,56,1,3,3,9756,6595,4,21,4,3,80,2,9,4,5,0,0,3
No,Travel_Rarely,45 - 54,Current Employees,HR,Life Sciences,STAFF-963,1352,Male,Manager,Divorced,Yes,Y,2,51,1,770,5,Bachelor's Degree,1,3,84,3,4,2,14026,17588,1,11,3,2,80,1,33,3,33,9,0,10
No,Travel_Rarely,45 - 54,Current Employees,HR,Life Sciences,STAFF-2416,2824,Male,Manager,Divorced,Yes,Y,2,51,1,770,5,Bachelor's Degree,1,3,84,3,4,2,14026,17588,1,11,3,2,80,1,33,3,33,9,0,10
No,Travel_Rarely,45 - 54,Current Employees,HR,Life Sciences,STAFF-1021,1625,Female,Manager,Married,No,Y,2,47,1,1176,26,Master's Degree,1,4,98,3,5,3,19658,5220,3,11,3,3,80,1,27,3,5,2,1,0
No,Travel_Rarely,45 - 54,Current Employees,HR,Life Sciences,STAFF-2474,2882,Female,Manager,Married,No,Y,2,47,1,1176,26,Master's Degree,1,4,98,3,5,3,19658,5220,3,11,3,3,80,1,27,3,5,2,1,0
No,Travel_Rarely,Over 55,Current Employees,HR,Life Sciences,STAFF-957,1338,Male,Manager,Single,No,Y,4,56,1,206,8,Master's Degree,1,4,99,3,5,2,19717,4022,6,14,3,1,80,0,36,3,7,3,7,7
No,Travel_Rarely,Over 55,Current Employees,HR,Life Sciences,STAFF-2410,2818,Male,Manager,Single,No,Y,4,56,1,206,8,Master's Degree,1,4,99,3,5,2,19717,4022,6,14,3,1,80,0,36,3,7,3,7,7
No,Non-Travel,25 - 34,Current Employees,R&D,Life Sciences,STAFF-268,369,Male,Healthcare Representative,Divorced,No,Y,2,25,1,675,5,Associates Degree,1,2,85,4,2,1,4000,18384,1,12,3,4,80,2,6,3,6,3,1,5
No,Non-Travel,25 - 34,Current Employees,R&D,Life Sciences,STAFF-1721,2129,Male,Healthcare Representative,Divorced,No,Y,2,25,1,675,5,Associates Degree,1,2,85,4,2,1,4000,18384,1,12,3,4,80,2,6,3,6,3,1,5
No,Non-Travel,25 - 34,Current Employees,R&D,Life Sciences,STAFF-420,562,Male,Laboratory Technician,Married,No,Y,3,30,1,1400,3,Bachelor's Degree,1,3,53,3,1,4,2097,16734,4,15,3,3,80,1,9,1,5,3,1,4
No,Non-Travel,25 - 34,Current Employees,R&D,Life Sciences,STAFF-638,882,Male,Laboratory Technician,Divorced,No,Y,2,32,1,300,1,Bachelor's Degree,1,4,61,3,1,4,2314,9148,0,12,3,2,80,1,4,3,3,0,0,2
No,Non-Travel,25 - 34,Current Employees,R&D,Life Sciences,STAFF-683,951,Female,Laboratory Technician,Married,No,Y,3,32,1,1184,1,Bachelor's Degree,1,3,70,2,1,2,2332,3974,6,20,4,3,80,0,5,3,3,0,0,2
No,Non-Travel,25 - 34,Current Employees,R&D,Life Sciences,STAFF-945,1315,Female,Laboratory Technician,Married,No,Y,6,28,1,1476,1,Bachelor's Degree,1,3,55,1,2,4,6674,16392,0,11,3,1,80,3,10,3,9,8,7,5
No,Non-Travel,25 - 34,Current Employees,R&D,Life Sciences,STAFF-1873,2281,Male,Laboratory Technician,Married,No,Y,3,30,1,1400,3,Bachelor's Degree,1,3,53,3,1,4,2097,16734,4,15,3,3,80,1,9,1,5,3,1,4
No,Non-Travel,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2091,2499,Male,Laboratory Technician,Divorced,No,Y,2,32,1,300,1,Bachelor's Degree,1,4,61,3,1,4,2314,9148,0,12,3,2,80,1,4,3,3,0,0,2
No,Non-Travel,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2136,2544,Female,Laboratory Technician,Married,No,Y,3,32,1,1184,1,Bachelor's Degree,1,3,70,2,1,2,2332,3974,6,20,4,3,80,0,5,3,3,0,0,2
No,Non-Travel,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2398,2806,Female,Laboratory Technician,Married,No,Y,6,28,1,1476,1,Bachelor's Degree,1,3,55,1,2,4,6674,16392,0,11,3,1,80,3,10,3,9,8,7,5
No,Non-Travel,25 - 34,Current Employees,R&D,Life Sciences,STAFF-787,1094,Male,Laboratory Technician,Married,No,Y,4,27,1,1277,8,Doctoral Degree,1,1,87,1,1,3,4621,5869,1,19,3,4,80,3,3,3,3,2,1,2
No,Non-Travel,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2240,2648,Male,Laboratory Technician,Married,No,Y,4,27,1,1277,8,Doctoral Degree,1,1,87,1,1,3,4621,5869,1,19,3,4,80,3,3,3,3,2,1,2
No,Non-Travel,25 - 34,Current Employees,R&D,Life Sciences,STAFF-212,292,Male,Manufacturing Director,Single,No,Y,2,30,1,829,1,High School,1,3,88,2,3,3,8474,20925,1,22,4,3,80,0,12,3,11,8,5,8
No,Non-Travel,25 - 34,Current Employees,R&D,Life Sciences,STAFF-1665,2073,Male,Manufacturing Director,Single,No,Y,2,30,1,829,1,High School,1,3,88,2,3,3,8474,20925,1,22,4,3,80,0,12,3,11,8,5,8
No,Non-Travel,25 - 34,Current Employees,R&D,Life Sciences,STAFF-804,1115,Male,Research Scientist,Married,No,Y,2,34,1,697,3,Master's Degree,1,3,40,2,1,4,2979,22478,3,17,3,4,80,3,6,3,0,0,0,0
No,Non-Travel,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2257,2665,Male,Research Scientist,Married,No,Y,2,34,1,697,3,Master's Degree,1,3,40,2,1,4,2979,22478,3,17,3,4,80,3,6,3,0,0,0,0
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-1365,1970,Male,Healthcare Representative,Divorced,No,Y,2,33,1,1303,7,Associates Degree,1,4,36,3,2,3,5968,18079,1,20,4,3,80,3,9,3,9,7,2,8
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2818,3226,Male,Healthcare Representative,Divorced,No,Y,2,33,1,1303,7,Associates Degree,1,4,36,3,2,3,5968,18079,1,20,4,3,80,3,9,3,9,7,2,8
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-572,792,Female,Laboratory Technician,Divorced,No,Y,2,26,1,575,1,Associates Degree,1,1,71,1,1,4,4364,5288,3,14,3,1,80,1,5,3,2,2,2,0
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-1269,1850,Female,Laboratory Technician,Single,Yes,Y,3,27,1,1297,5,Associates Degree,1,4,53,3,1,4,2379,19826,0,14,3,3,80,0,6,2,5,4,0,2
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2025,2433,Female,Laboratory Technician,Divorced,No,Y,2,26,1,575,1,Associates Degree,1,1,71,1,1,4,4364,5288,3,14,3,1,80,1,5,3,2,2,2,0
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2722,3130,Female,Laboratory Technician,Single,Yes,Y,3,27,1,1297,5,Associates Degree,1,4,53,3,1,4,2379,19826,0,14,3,3,80,0,6,2,5,4,0,2
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-326,442,Female,Manufacturing Director,Married,No,Y,2,31,1,798,7,Associates Degree,1,3,48,2,3,3,8943,14034,1,24,4,1,80,1,10,3,10,9,8,9
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-538,733,Male,Manufacturing Director,Divorced,No,Y,4,27,1,294,10,Associates Degree,1,4,32,3,3,1,8793,4809,1,21,4,3,80,2,9,2,9,7,1,7
